VMS_4502184_20160102173600_m5p7611_134p2444,4502184,LAUTAN SAMUDERA VI,-5.7611,134.2444,20160102173600,0,360,88,24.83,7.51,Pancing Ulur,2016-02-27,2017-02-26,718. 715,Landing,Dobo,None,None,None,Null,Null,Null,Null,Null,Landing
VMS_4502184_20160102183600_m5p7614_134p2444,4502184,LAUTAN SAMUDERA VI,-5.7614,134.2444,20160102183600,0,360,88,24.83,7.51,Pancing Ulur,2016-02-27,2017-02-26,718. 715,Landing,Dobo,None,None,None,Null,Null,Null,Null,Null,Landing
VMS_4502184_20160102193600_m5p7614_134p2444,4502184,LAUTAN SAMUDERA VI,-5.7614,134.2444,20160102193600,0,360,88,24.83,7.51,Pancing Ulur,2016-02-27,2017-02-26,718. 715,Landing,Dobo,None,None,None,Null,Null,Null,Null,Null,Landing
VMS_4502184_20160102203600_m5p7614_134p2444,4502184,LAUTAN SAMUDERA VI,-5.7614,134.2444,20160102203600,0,360,88,24.83,7.51,Pancing Ulur,2016-02-27,2017-02-26,718. 715,Landing,Dobo,None,None,None,Null,Null,Null,Null,Null,Landing
VMS_4502184_20160102213600_m5p7608_134p2444,4502184,LAUTAN SAMUDERA VI,-5.7608,134.2444,20160102213600,0,360,88,24.83,7.51,Pancing Ulur,2016-02-27,2017-02-26,718. 715,Landing,Dobo,None,None,None,Null,Null,Null,Null,Null,Landing
VMS_4502184_20160102223600_m5p7608_134p2444,4502184,LAUTAN SAMUDERA VI,-5.7608,134.2444,20160102223600,0,360,88,24.83,7.51,Pancing Ulur,2016-02-27,2017-02-26,718. 715,Landing,Dobo,None,None,None,Null,Null,Null,Null,Null,Landing
VMS_4502184_20160102233600_m5p7606_134p2436,4502184,LAUTAN SAMUDERA VI,-5.7606,134.2436,20160102233600,0,360,88,24.83,7.51,Pancing Ulur,2016-02-27,2017-02-26,718. 715,Landing,Dobo,None,None,None,Null,Null,Null,Null,Null,Landing
VMS_4502184_20160103003600_m5p7606_134p2439,4502184,LAUTAN SAMUDERA VI,-5.7606,134.2439,20160103003600,0,360,88,24.83,7.51,Pancing Ulur,2016-02-27,2017-02-26,718. 715,Landing,Dobo,None,None,None,Null,Null,Null,Null,Null,Landing
VMS_4502184_20160103013600_m5p7606_134p2439,4502184,LAUTAN SAMUDERA VI,-5.7606,134.2439,20160103013600,0,360,88,24.83,7.51,Pancing Ulur,2016-02-27,2017-02-26,718. 715,Landing,Dobo,None,None,None,Null,Null,Null,Null,Null,Landing
VMS_4502184_20160103023600_m5p7608_134p2444,4502184,LAUTAN SAMUDERA VI,-5.7608,134.2444,20160103023600,0,360,88,24.83,7.51,Pancing Ulur,2016-02-27,2017-02-26,718. 715,Landing,Dobo,None,None,None,Null,Null,Null,Null,Null,Landing
VMS_4502184_20160103033600_m5p7614_134p2444,4502184,LAUTAN SAMUDERA VI,-5.7614,134.2444,20160103033600,0,360,88,24.83,7.51,Pancing Ulur,2016-02-27,2017-02-26,718. 715,Landing,Dobo,None,None,None,Null,Null,Null,Null,Null,Landing
VMS_4502184_20160103043600_m5p7614_134p2444,4502184,LAUTAN SAMUDERA VI,-5.7614,134.2444,20160103043600,0,360,88,24.83,7.51,Pancing Ulur,2016-02-27,2017-02-26,718. 715,Landing,Dobo,None,None,None,Null,Null,Null,Null,Null,Landing
VMS_4502184_20160103053600_m5p7614_134p2444,4502184,LAUTAN SAMUDERA VI,-5.7614,134.2444,20160103053600,0,360,88,24.83,7.51,Pancing Ulur,2016-02-27,2017-02-26,718. 715,Landing,Dobo,None,None,None,Null,Null,Null,Null,Null,Landing
VMS_4502184_20160103063600_m5p7614_134p2444,4502184,LAUTAN SAMUDERA VI,-5.7614,134.2444,20160103063600,0,360,88,24.83,7.51,Pancing Ulur,2016-02-27,2017-02-26,718. 715,Landing,Dobo,None,None,None,Null,Null,Null,Null,Null,Landing
VMS_4502184_20160103073600_m5p7614_134p2444,4502184,LAUTAN SAMUDERA VI,-5.7614,134.2444,20160103073600,0,360,88,24.83,7.51,Pancing Ulur,2016-02-27,2017-02-26,718. 715,Landing,Dobo,None,None,None,Null,Null,Null,Null,Null,Landing
VMS_4502184_20160103083600_m5p7614_134p2444,4502184,LAUTAN SAMUDERA VI,-5.7614,134.2444,20160103083600,0,360,88,24.83,7.51,Pancing Ulur,2016-02-27,2017-02-26,718. 715,Landing,Dobo,None,None,None,Null,Null,Null,Null,Null,Landing
