id_key,transmitter_no,vessel_name,latitude,longitude,reportdate,speed,heading,gross_tonnage,length,width,registered_gear_type,begin_date,end_date,registered_fishing_region,status,locale,vbd_id_key,vbd_dist,vbd_dtime,segment,velocity,heading_change,distance,time_elapsed,geom
VMS_74067_20140115010000_m5p981_99p763,74067,74067,-5.981,99.763,2014-01-15 01:00:00,0,332,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Transit,Null,,,,2014-01-15 01:00:00 GMT_b11_m1,0.15,-180.0,0.12,0.82,0101000020E610000046B6F3FDD4F05840068195438BEC17C0
VMS_74067_20140115013500_m5p981_99p763,74067,74067,-5.981,99.763,2014-01-15 01:35:00,20,8,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Transit,Null,,,,2014-01-15 01:00:00 GMT_b11_m1,0.09,-90.0,0.12,1.4,0101000020E610000046B6F3FDD4F05840068195438BEC17C0
VMS_74067_20140115020000_m5p981_99p764,74067,74067,-5.981,99.764,2014-01-15 02:00:00,0,340,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Non-Fishing,Null,,,,2014-01-15 02:00:00 GMT_b12_m4,0.09,-135.0,0.17,1.82,0101000020E610000037894160E5F05840068195438BEC17C0
VMS_74067_20140115021500_m5p981_99p764,74067,74067,-5.981,99.764,2014-01-15 02:15:00,30,155,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Non-Fishing,Null,,,,2014-01-15 02:00:00 GMT_b12_m4,0.08,161.0,0.17,2.07,0101000020E610000037894160E5F05840068195438BEC17C0
VMS_74067_20140115022200_m5p98_99p762,74067,74067,-5.98,99.762,2014-01-15 02:22:00,40,272,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Non-Fishing,Null,,,,2014-01-15 02:00:00 GMT_b12_m4,0.06,19.0,0.12,2.18,0101000020E610000054E3A59BC4F05840EC51B81E85EB17C0
VMS_74067_20140116080000_m5p985_99p752,74067,74067,-5.985,99.752,2014-01-16 08:00:00,0,279,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E6100000E3A59BC420F05840713D0AD7A3F017C0
VMS_74067_20140116085200_m5p984_99p753,74067,74067,-5.984,99.753,2014-01-16 08:52:00,0,139,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E6100000D578E92631F05840560E2DB29DEF17C0
VMS_74067_20140116090000_m5p984_99p753,74067,74067,-5.984,99.753,2014-01-16 09:00:00,30,128,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E6100000D578E92631F05840560E2DB29DEF17C0
VMS_74067_20140116095000_m5p984_99p754,74067,74067,-5.984,99.754,2014-01-16 09:50:00,20,358,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E6100000C74B378941F05840560E2DB29DEF17C0
VMS_74067_20140116100000_m5p983_99p754,74067,74067,-5.983,99.754,2014-01-16 10:00:00,0,329,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E6100000C74B378941F058403BDF4F8D97EE17C0
VMS_74067_20140116104200_m5p983_99p755,74067,74067,-5.983,99.755,2014-01-16 10:42:00,10,135,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E6100000B81E85EB51F058403BDF4F8D97EE17C0
VMS_74067_20140116110000_m5p983_99p755,74067,74067,-5.983,99.755,2014-01-16 11:00:00,0,134,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E6100000B81E85EB51F058403BDF4F8D97EE17C0
VMS_74067_20140116112900_m5p983_99p756,74067,74067,-5.983,99.756,2014-01-16 11:29:00,0,115,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E6100000AAF1D24D62F058403BDF4F8D97EE17C0
VMS_74067_20140116120000_m5p982_99p757,74067,74067,-5.982,99.757,2014-01-16 12:00:00,30,329,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E61000009CC420B072F0584021B0726891ED17C0
VMS_74067_20140116121100_m5p982_99p757,74067,74067,-5.982,99.757,2014-01-16 12:11:00,30,329,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E61000009CC420B072F0584021B0726891ED17C0
VMS_74067_20140116130000_m5p982_99p757,74067,74067,-5.982,99.757,2014-01-16 13:00:00,0,329,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E61000009CC420B072F0584021B0726891ED17C0
