id_Key,TRANSMITTER_NO,VESSEL_NAME,LATITUDE,LONGITUDE,REPORTDATE,SPEED,HEADING,GROSS_TONNAGE,LENGTH,WIDTH,REGISTERED_GEAR_TYPE,BEGIN_DATE,END_DATE,REGISTERED_FISHING_REGION
VMS_4949257_20140106154400_m8p4181_67p2494,4949257,4949257,-8.4181,67.2494,20140106154400,16,190,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140106164400_m8p4636_67p2514,4949257,4949257,-8.4636,67.2514,20140106164400,27,140,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140106174400_m8p5042_67p245,4949257,4949257,-8.5042,67.245,20140106174400,38,170,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140106184400_m8p5492_67p2386,4949257,4949257,-8.5492,67.2386,20140106184400,22,170,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140106194400_m8p5872_67p2125,4949257,4949257,-8.5872,67.2125,20140106194400,38,220,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140106204400_m8p6189_67p1869,4949257,4949257,-8.6189,67.1869,20140106204400,43,255,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140106214400_m8p6442_67p1608,4949257,4949257,-8.6442,67.1608,20140106214400,27,260,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140106224400_m8p6467_67p1133,4949257,4949257,-8.6467,67.1133,20140106224400,32,270,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140106234400_m8p6261_67p0786,4949257,4949257,-8.6261,67.0786,20140106234400,27,275,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140107004400_m8p6081_67p0369,4949257,4949257,-8.6081,67.0369,20140107004400,5,40,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140107014400_m8p5689_67p0314,4949257,4949257,-8.5689,67.0314,20140107014400,38,10,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140107024400_m8p5258_67p0306,4949257,4949257,-8.5258,67.0306,20140107024400,27,345,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140107034400_m8p4756_67p0286,4949257,4949257,-8.4756,67.0286,20140107034400,32,5,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140107044400_m8p4236_67p0256,4949257,4949257,-8.4236,67.0256,20140107044400,38,345,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140107054400_m8p3717_67p0242,4949257,4949257,-8.3717,67.0242,20140107054400,32,0,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140107064400_m8p3275_67p0328,4949257,4949257,-8.3275,67.0328,20140107064400,27,10,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
